1999,,,,,,,,,,,,,,,,
 , 未滿15,94782,49456,45326,94782,49456,45326,0,0,0,0,0,0,0,0,0
 , 15-19,34488,17708,16780,34118,17661,16457,344,44,300,24,3,21,2,0,2
 , 20-24,41326,21149,20177,36904,19990,16914,3998,1052,2946,410,106,304,14,1,13
 , 25-29,38067,19725,18342,22707,13657,9050,14037,5538,8499,1265,526,739,58,4,54
 , 30-34,36581,19379,17202,10204,6683,3521,24164,11671,12493,2062,1001,1061,151,24,127
 , 35-39,37151,19738,17413,5403,3468,1935,28599,14843,13756,2750,1372,1378,399,55,344
 , 40-44,36550,18951,17599,3209,2050,1159,29455,15214,14241,3094,1580,1514,792,107,685
 , 45-49,32216,16508,15708,1950,1192,758,26513,13780,12733,2533,1370,1163,1220,166,1054
 , 50-54,25315,12804,12511,1211,697,514,20924,11030,9894,1586,884,702,1594,193,1401
 , 55-59,17199,8630,8569,573,367,206,14297,7524,6773,766,519,247,1563,220,1343
 , 60-64,20213,10070,10143,545,403,142,16287,8825,7462,550,371,179,2831,471,2360
 , 65-69,17513,8770,8743,450,352,98,13199,7464,5735,360,217,143,3504,737,2767
 , 70-74,14356,7515,6841,495,408,87,9478,5933,3545,302,193,109,4081,981,3100
 , 75-79,9843,5193,4650,477,414,63,5306,3634,1672,203,139,64,3857,1006,2851
 , 80-84,5386,2525,2861,284,224,60,2116,1504,612,96,55,41,2890,742,2148
 , 85-89,2283,971,1312,117,93,24,600,481,119,30,19,11,1536,378,1158
 , 90-94,701,271,430,49,34,15,112,87,25,5,3,2,535,147,388
 , 95-99,112,34,78,8,7,1,17,13,4,0,0,0,87,14,73
 ,100,25,13,12,3,2,1,8,6,2,0,0,0,14,5,9
2003,,,,,,,,,,,,,,,,
 , 總計,463285,238839,224446,211721,115954,95767,209004,108740,100264,17125,8869,8256,25435,5276,20159
 , 未滿15,91973,47980,43993,91973,47980,43993,0,0,0,0,0,0,0,0,0
 , 15-19,33789,17477,16312,33498,17440,16058,267,33,234,24,4,20,0,0,0
 , 20-24,40567,20783,19784,36668,19758,16910,3488,921,2567,393,104,289,18,0,18
 , 25-29,38343,19724,18619,23745,14036,9709,13216,5141,8075,1333,545,788,49,2,47
 , 30-34,35851,18918,16933,10564,6834,3730,22971,11044,11927,2157,1015,1142,159,25,134
 , 35-39,36552,19433,17119,5570,3548,2022,27811,14400,13411,2829,1432,1397,342,53,289
 , 40-44,37174,19454,17720,3388,2140,1248,29740,15523,14217,3294,1682,1612,752,109,643
 , 45-49,32837,16829,16008,2055,1269,786,26828,13959,12869,2736,1435,1301,1218,166,1052
 , 50-54,27317,13820,13497,1310,745,565,22486,11815,10671,1871,1058,813,1650,202,1448
 , 55-59,17138,8605,8533,583,349,234,14148,7501,6647,845,536,309,1562,219,1343
 , 60-64,19989,9905,10084,537,380,157,16091,8685,7406,602,408,194,2759,432,2327
 , 65-69,17784,8850,8934,458,354,104,13459,7553,5906,391,242,149,3476,701,2775
 , 70-74,14661,7529,7132,444,362,82,9769,6014,3755,290,179,111,4158,974,3184
 , 75-79,10273,5490,4783,463,398,65,5630,3894,1736,207,138,69,3973,1060,2913
 , 80-84,5766,2721,3045,282,222,60,2336,1664,672,110,67,43,3038,768,2270
 , 85-89,2327,961,1366,123,94,29,592,454,138,35,21,14,1577,392,1185
 , 90-94,780,303,477,46,35,11,146,119,27,7,2,5,581,147,434
 , 95-99,138,43,95,10,7,3,17,13,4,1,1,0,110,22,88
 ,100,26,14,12,4,3,1,9,7,2,0,0,0,13,4,9
2004,,,,,,,,,,,,,,,,
 , 總計,462286,238153,224133,210342,115028,95314,207591,108263,99328,18457,9526,8931,25896,5336,20560
 , 未滿15,89270,46589,42681,89269,46589,42680,1,0,1,0,0,0,0,0,0
 , 15-19,32953,17114,15839,32714,17085,15629,223,27,196,15,2,13,1,0,1
 , 20-24,39466,20183,19283,36115,19317,16798,2957,768,2189,371,98,273,23,0,23
 , 25-29,38676,19948,18728,25140,14681,10459,12070,4694,7376,1420,572,848,46,1,45
 , 30-34,34743,18130,16613,10972,6991,3981,21401,10092,11309,2227,1027,1200,143,20,123
 , 35-39,36370,19381,16989,5862,3705,2157,27154,14051,13103,3009,1567,1442,345,58,287
 , 40-44,37426,19631,17795,3613,2263,1350,29602,15511,14091,3492,1752,1740,719,105,614
 , 45-49,33806,17410,16396,2247,1406,841,27280,14262,13018,3066,1575,1491,1213,167,1046
 , 50-54,28709,14523,14186,1413,823,590,23544,12324,11220,2086,1179,907,1666,197,1469
 , 55-59,18049,9038,9011,682,393,289,14699,7785,6914,1016,626,390,1652,234,1418
 , 60-64,19453,9638,9815,513,348,165,15625,8439,7186,657,439,218,2658,412,2246
 , 65-69,18104,8987,9117,469,359,110,13682,7681,6001,422,267,155,3531,680,2851
 , 70-74,14843,7488,7355,402,318,84,9966,6034,3932,281,169,112,4194,967,3227
 , 75-79,10789,5743,5046,439,371,68,6024,4165,1859,229,154,75,4097,1053,3044
 , 80-84,6104,2894,3210,288,228,60,2503,1767,736,114,69,45,3199,830,2369
 , 85-89,2477,1030,1447,132,97,35,654,494,160,41,24,17,1650,415,1235
 , 90-94,860,362,498,54,41,13,177,149,28,10,5,5,619,167,452
 , 95-99,158,48,110,13,9,4,19,13,6,1,1,0,125,25,100
 ,100,30,16,14,5,4,1,10,7,3,0,0,0,15,5,10
2005,,,,,,,,,,,,,,,,
 , 總計,461586,237326,224260,208732,113916,94816,206657,107815,98842,19892,10240,9652,26305,5355,20950
 , 未滿15,86007,44764,41243,86006,44764,41242,1,0,1,0,0,0,0,0,0
 , 15-19,33031,17267,15764,32864,17249,15615,157,17,140,9,1,8,1,0,1
 , 20-24,38101,19411,18690,35181,18654,16527,2562,667,1895,341,89,252,17,1,16
 , 25-29,39296,20319,18977,26337,15290,11047,11455,4440,7015,1460,587,873,44,2,42
 , 30-34,33891,17582,16309,11390,7169,4221,20045,9332,10713,2329,1063,1266,127,18,109
 , 35-39,36228,19211,17017,6117,3873,2244,26569,13646,12923,3225,1644,1581,317,48,269
 , 40-44,37202,19563,17639,3825,2359,1466,29026,15251,13775,3672,1863,1809,679,90,589
 , 45-49,34407,17666,16741,2422,1493,929,27486,14315,13171,3318,1703,1615,1181,155,1026
 , 50-54,30217,15271,14946,1535,910,625,24469,12770,11699,2476,1372,1104,1737,219,1518
 , 55-59,19961,10059,9902,801,458,343,16199,8651,7548,1181,704,477,1780,246,1534
 , 60-64,18093,8967,9126,484,313,171,14454,7806,6648,710,481,229,2445,367,2078
 , 65-69,18620,9157,9463,485,353,132,14083,7849,6234,457,289,168,3595,666,2929
 , 70-74,15001,7408,7593,368,287,81,10073,5998,4075,285,171,114,4275,952,3323
 , 75-79,11306,5949,5357,418,350,68,6402,4391,2011,244,160,84,4242,1048,3194
 , 80-84,6374,3078,3296,284,228,56,2677,1909,768,126,76,50,3287,865,2422
 , 85-89,2769,1213,1556,140,107,33,785,598,187,44,28,16,1800,480,1320
 , 90-94,861,363,498,50,42,8,178,148,30,13,8,5,620,165,455
 , 95-99,185,59,126,18,12,6,24,18,6,2,1,1,141,28,113
 ,100,36,19,17,7,5,2,12,9,3,0,0,0,17,5,12
2006,,,,,,,,,,,,,,,,
 , 總計,460426,236447,223979,206776,112791,93985,205607,107258,98349,21321,11031,10290,26722,5367,21355
 , 未滿15,83018,43189,39829,83018,43189,39829,0,0,0,0,0,0,0,0,0
 , 15-19,33494,17497,15997,33332,17471,15861,154,26,128,8,0,8,0,0,0
 , 20-24,35795,18369,17426,33264,17723,15541,2234,571,1663,287,75,212,10,0,10
 , 25-29,39094,20035,19059,27004,15457,11547,10622,4037,6585,1422,538,884,46,3,43
 , 30-34,34348,17859,16489,12311,7707,4604,19404,8973,10431,2507,1162,1345,126,17,109
 , 35-39,35391,18690,16701,6395,4034,2361,25392,12955,12437,3306,1652,1654,298,49,249
 , 40-44,36978,19475,17503,4045,2469,1576,28391,14883,13508,3900,2037,1863,642,86,556
 , 45-49,34942,17927,17015,2589,1598,991,27563,14302,13261,3638,1877,1761,1152,150,1002
 , 50-54,31061,15778,15283,1684,1001,683,24906,13038,11868,2785,1535,1250,1686,204,1482
 , 55-59,22533,11303,11230,922,513,409,18112,9656,8456,1489,867,622,2010,267,1743
 , 60-64,17137,8543,8594,504,326,178,13662,7393,6269,739,503,236,2232,321,1911
 , 65-69,18761,9186,9575,464,327,137,14132,7851,6281,511,335,176,3654,673,2981
 , 70-74,15196,7457,7739,364,284,80,10240,6071,4169,294,173,121,4298,929,3369
 , 75-79,11657,6009,5648,369,293,76,6686,4479,2207,246,159,87,4356,1078,3278
 , 80-84,6864,3367,3497,276,220,56,3004,2174,830,127,78,49,3457,895,2562
 , 85-89,3025,1311,1714,153,113,40,880,667,213,50,31,19,1942,500,1442
 , 90-94,898,363,535,55,47,8,189,154,35,10,7,3,644,155,489
 , 95-99,198,68,130,18,11,7,26,21,5,2,2,0,152,34,118
 ,100,36,21,15,9,8,1,10,7,3,0,0,0,17,6,11
2007,,,,,,,,,,,,,,,,
 , 總計,460398,235952,224446,205656,111980,93676,204935,106849,98086,22522,11675,10847,27285,5448,21837
 , 未滿15,80044,41570,38474,80043,41570,38473,1,0,1,0,0,0,0,0,0
 , 15-19,33804,17730,16074,33634,17709,15925,160,20,140,10,1,9,0,0,0
 , 20-24,34213,17515,16698,32037,16970,15067,1890,474,1416,276,69,207,10,2,8
 , 25-29,39425,20134,19291,28105,15982,12123,9914,3645,6269,1358,503,855,48,4,44
 , 30-34,34671,18012,16659,13207,8164,5043,18736,8605,10131,2609,1228,1381,119,15,104
 , 35-39,34962,18316,16646,6625,4137,2488,24617,12418,12199,3434,1718,1716,286,43,243
 , 40-44,36423,19212,17211,4224,2573,1651,27626,14468,13158,3971,2094,1877,602,77,525
 , 45-49,35932,18478,17454,2800,1716,1084,28006,14558,13448,3975,2049,1926,1151,155,996
 , 50-54,31652,16102,15550,1766,1031,735,25200,13204,11996,3010,1647,1363,1676,220,1456
 , 55-59,24710,12406,12304,1065,592,473,19740,10548,9192,1769,999,770,2136,267,1869
 , 60-64,16519,8209,8310,520,311,209,13095,7070,6025,779,521,258,2125,307,1818
